text,language
The election results surprised many political analysts,en
Die Börse erreichte gestern ihren historischen Höchststand,de
El terremoto causó una destrucción generalizada en toda la región,es
Les enfants ont besoin d une nutrition adéquate pour se développer,fr
Wasserknappheit betrifft weltweit mehr als zwei Milliarden Menschen täglich,de
La biodiversité est essentielle pour maintenir l équilibre des écosystèmes,fr
La città sotterranea è stata scoperta in profondità sotto il deserto,it
A vacina provou ser altamente eficaz contra o vírus perigoso,pt
Tourism is a major source of revenue for island nations,en
La contaminación oceánica amenaza la supervivencia de ecosistemas marinos,es
La película recibió numerosos premios en festivales internacionales,es
Photography captures moments that would otherwise be lost,en
Der Impfstoff erwies sich als hochwirksam gegen das gefährliche Virus,de
Gesundheitssysteme stehen durch alternde Bevölkerungen unter zunehmendem Druck,de
La bolsa alcanzó su máximo histórico ayer por la tarde,es
Der Koch bereitete ein außergewöhnliches Drei Gänge Menü zu,de
As ruínas antigas foram descobertas por arqueólogos especializados e experientes,pt
La nuova politica influirà su milioni di cittadini comuni ordinari,it
The falcon is one of the fastest birds in existence,en
L urbanisme façonne l avenir de nos villes en pleine croissance,fr
La pianificazione urbana modella il futuro delle nostre città in crescita,it
I bambini che leggono sviluppano capacità cognitive più forti e solide,it
The expedition crossed the frozen Antarctic continent successfully,en
La démocratie nécessite une participation active des citoyens engagés,fr
Le faucon est l un des oiseaux les plus rapides qui existent,fr
O projeto da biblioteca conectou comunidades remotas ao conhecimento,pt
Il veicolo spaziale ha trasmesso dati dall esterno del sistema solare,it
Le vaisseau spatial a transmis des données depuis le système solaire extérieur,fr
Tourismus ist eine wichtige Einnahmequelle für Inselstaaten weltweit,de
The stock market reached an all-time high yesterday,en
A inovação impulsiona o crescimento econômico em mercados altamente competitivos,pt
A robótica está revolucionando a manufatura e a logística mundial,pt
The avalanche buried several ski resort buildings overnight,en
Der Film erhielt zahlreiche Auszeichnungen bei internationalen Filmfestivals,de
Wissenschaftler haben eine neue Tiefseefischart entdeckt,de
Los astronautas regresaron sanos desde la estación espacial,es
The ancient text was finally deciphered by linguists,en
Il film ha ricevuto numerosi premi ai festival internazionali del cinema,it
El partido de campeonato atrajo a millones de espectadores,es
L innovation stimule la croissance économique dans des marchés compétitifs,fr
Le changement climatique pose des défis considérables dans le monde,fr
Die Basketballmannschaft gewann die Meisterschaft nach jahrelangem Training,de
The earthquake caused widespread destruction across the region,en
Os pássaros migram milhares de quilômetros por instinto a cada ano,pt
Satelliten überwachen kontinuierlich Wettermuster aus der Umlaufbahn der Erde,de
Le civiltà antiche hanno costruito notevoli strutture architettoniche storiche,it
Marine biologists study complex ecosystems beneath the waves,en
El halcón es una de las aves más rápidas en existencia,es
Os painéis solares agora são mais baratos do que as fontes de energia tradicionais,pt
Die unterirdische Stadt wurde tief unter der Wüste von Forschern entdeckt,de
O jardim floresceu com coloridas flores de primavera perfumadas e belas,pt
O delta do rio abriga espécies únicas de pássaros que não existem em outro lugar,pt
Education is the foundation of a prosperous society,en
Il dibattito sulla politica migratoria continua in parlamento ogni giorno,it
The polar ice caps are melting at an alarming rate,en
La agricultura urbana proporciona alimentos frescos en áreas densas,es
A pintura foi vendida por uma quantia extraordinária no leilão,pt
Children need proper nutrition for healthy development,en
O concerto foi absolutamente espetacular ontem à noite no teatro,pt
Children who read develop stronger cognitive abilities,en
A exploração espacial inspira as futuras gerações de cientistas inovadores,pt
La fusión creó la empresa más grande de la industria global,es
Digital transformation is essential for business survival today,en
L incendie de forêt a consumé des milliers d hectares de végétation,fr
Les calottes glaciaires fondent à un rythme alarmant préoccupant,fr
Die Lawine begrub mehrere Gebäude des Skiresorts unter Massen von Schnee,de
La economía creció de manera constante durante el ejercicio,es
A biodiversidade é essencial para manter o equilíbrio dos ecossistemas,pt
As crianças aprendem idiomas muito mais rápido do que os adultos,pt
El concierto fue absolutamente espectacular anoche,es
Il calcolo quantistico potrebbe rivoluzionare la crittografia moderna globale,it
Das Krankenhaus führte neue medizinische Behandlungsverfahren ein,de
Il falco è uno degli uccelli più veloci che esistono al mondo,it
O telescópio revelou galáxias a bilhões de anos luz de distância,pt
Solar energy could power the entire planet theoretically,en
Meditation helps reduce stress and improve mental clarity,en
El pico de la montaña estaba cubierto de nieve eterna,es
O romance explora temas de identidade e pertencimento cultural profundos,pt
La sensibilisation à la santé mentale a considérablement augmenté,fr
A arte de rua transforma espaços urbanos em galerias ao ar livre,pt
Il giardino è fiorito con i colorati fiori primaverili profumati,it
Innovation treibt das Wirtschaftswachstum in wettbewerbsintensiven Märkten an,de
The bridge was engineered to withstand extreme weather,en
Frutas e legumes frescos são essenciais para manter a saúde,pt
A ponte foi projetada para resistir a condições climáticas extremas,pt
La coopération internationale est vitale pour relever les défis mondiaux,fr
La biodiversità è essenziale per mantenere l equilibrio degli ecosistemi,it
The astronauts returned safely from the space station,en
Die Genforschung bietet neue Hoffnung für erbliche Erkrankungen der Menschen,de
Urban farming provides fresh food in dense city areas,en
The library project connected remote communities with knowledge,en
Les astronautes sont rentrés sains et saufs de la station spatiale,fr
El referéndum determinará el futuro de la región autónoma,es
O transporte público reduz significativamente o congestionamento de tráfego,pt
International cooperation is vital for addressing global challenges,en
Solarenergie könnte theoretisch den gesamten Energiebedarf der Erde decken,de
Os astronautas retornaram com segurança da estação espacial internacional,pt
Le nouveau médicament a réduit considérablement la taille des tumeurs,fr
La transformación digital es esencial para la supervivencia empresarial,es
El cuadro se vendió por una suma extraordinaria en subasta,es
Maschinelles Lernen verändert moderne Industrien grundlegend,de
Öffentliche Verkehrsmittel reduzieren den Verkehrsstau erheblich in Städten,de
La innovación impulsa el crecimiento económico en mercados competitivos,es
Das Konzert war gestern Abend absolut spektakulär und beeindruckend,de
Le match de championnat a attiré des millions de téléspectateurs,fr
La música tradicional refleja la historia y el alma de una cultura,es
O filme recebeu vários prêmios em festivais internacionais de cinema,pt
L éducation est le fondement d une société prospère,fr
A conscientização sobre saúde mental cresceu consideravelmente recentemente,pt
The river flows gently through the green valley,en
Les scientifiques ont découvert une nouvelle espèce de poisson,fr
La computación cuántica podría revolucionar la criptografía moderna,es
La scarsità d acqua colpisce più di due miliardi di persone nel mondo,it
Biologische Vielfalt ist für die Aufrechterhaltung des ökologischen Gleichgewichts unerlässlich,de
A computação quântica poderia revolucionar a criptografia moderna globalmente,pt
Les résultats électoraux ont surpris de nombreux analystes politiques,fr
The archaeological site revealed artifacts from ancient civilizations,en
Los bosques proporcionan hábitat para innumerables especies silvestres,es
Meeresverschmutzung bedroht das Überleben empfindlicher mariner Ökosysteme weltweit,de
La vacuna resultó altamente efectiva contra el virus peligroso,es
O turismo é uma importante fonte de receita para as nações insulares,pt
Las civilizaciones antiguas construyeron estructuras arquitectónicas notables,es
Il fuoco ha distrutto diversi edifici storici nel centro della città,it
La musique traditionnelle reflète l histoire et l âme d une culture,fr
El incendio destruyó varios edificios históricos en el centro,es
La educación es la base de una sociedad próspera,es
Os sistemas de saúde enfrentam pressão crescente de populações envelhecidas,pt
Das Lesen von Büchern verbessert das Vokabular und die Vorstellungskraft,de
Les transports publics réduisent considérablement les embouteillages,fr
La nave espacial transmitió datos desde el sistema solar exterior,es
La consapevolezza sulla salute mentale è cresciuta considerevolmente,it
L agriculture urbaine fournit des aliments frais dans les zones densément peuplées,fr
Coral reefs support incredible diversity of marine life,en
The wildfire consumed thousands of acres of forest,en
L intelligence artificielle aide les médecins à diagnostiquer les maladies,fr
The underground city was discovered deep beneath the desert,en
The basketball team won the championship after years,en
El transporte público reduce significativamente la congestión del tráfico,es
Le débat sur la politique d immigration se poursuit au parlement,fr
The debate about nuclear energy remains highly controversial,en
As fontes de energia renovável estão se tornando cada vez mais acessíveis,pt
La inteligencia artificial está cambiando rápidamente nuestro mundo,es
Das neue Medikament reduzierte die Tumorgröße bei Krebspatienten erheblich,de
L apprendimento automatico sta trasformando le industrie moderne globalmente,it
Ancient civilizations built remarkable architectural structures,en
The weather today is quite pleasant and sunny,en
O incêndio florestal consumiu milhares de hectares de floresta preciosa,pt
O chef preparou um extraordinário jantar de três pratos deliciosos,pt
Wissenschaftler arbeiten an einem Heilmittel gegen die seltene Krankheit,de
Os cientistas descobriram uma nova espécie de peixe de profundidade,pt
Les civilisations anciennes ont construit des structures architecturales remarquables,fr
La musica tradizionale riflette la storia e l anima di una cultura,it
Wildlife conservation efforts have shown positive results,en
A poluição oceânica ameaça a sobrevivência dos ecossistemas marinhos frágeis,pt
El documental exploró las profundidades del océano Pacífico,es
Traditional music reflects the history and soul of a culture,en
La inteligencia artificial asiste a los médicos en el diagnóstico,es
I sistemi sanitari affrontano una pressione crescente dalle popolazioni anziane,it
Artificial intelligence is rapidly changing our world,en
Meeresbiologen untersuchen komplexe Ökosysteme unter den Wellen des Ozeans,de
A escassez de água afeta mais de dois bilhões de pessoas no mundo,pt
La agricultura sigue siendo la columna vertebral de muchas economías,es
Das Meisterschaftsspiel zog Millionen von Fernsehzuschauern weltweit an,de
L énergie solaire pourrait théoriquement alimenter l ensemble de la planète,fr
As florestas fornecem habitat para inúmeras espécies de vida selvagem,pt
Das Sinfonieorchester spielte vor einem vollbesetzten Konzertsaal,de
La recherche génétique offre de nouveaux espoirs pour les maladies,fr
La photographie capture des moments qui autrement seraient perdus,fr
La nouvelle politique touchera des millions de citoyens ordinaires,fr
Der Professor hielt einen inspirierenden Vortrag vor aufmerksamen Studierenden,de
La ciudad subterránea fue descubierta bajo el desierto árido,es
The fire destroyed several historic buildings downtown,en
O referendo determinará o futuro político da região autônoma,pt
The painting sold for an extraordinary sum at auction,en
Artificial intelligence assists doctors in diagnosing diseases,en
Les biologistes marins étudient des écosystèmes complexes sous les vagues,fr
El río fluye suavemente por el verde valle montañoso,es
A nave espacial transmitiu dados do exterior do sistema solar,pt
O professor deu uma aula inspiradora para os alunos atentos e curiosos,pt
L arte di strada trasforma gli spazi urbani in gallerie all aperto,it
I bambini imparano le lingue molto più velocemente degli adulti,it
Le premier ministre a annoncé de nouvelles mesures de réforme économique,fr
Das Erdbeben verursachte weitreichende Zerstörungen in der gesamten betroffenen Region,de
La lecture améliore le vocabulaire et l imagination des enfants,fr
A invenção da internet mudou a comunicação para sempre no mundo,pt
Stadtplanung gestaltet die Zukunft unserer wachsenden modernen Städte,de
Os astrônomos detectaram sinais de rádio de uma galáxia distante,pt
Robotics is revolutionizing manufacturing and logistics,en
A agricultura urbana fornece alimentos frescos em áreas densamente povoadas,pt
La borsa ha raggiunto il massimo storico ieri pomeriggio,it
La transformation numérique est essentielle pour la survie des entreprises,fr
O planejamento urbano molda o futuro de nossas cidades em crescimento,pt
I pannelli solari ora sono più economici delle fonti di energia tradizionali,it
Le traité a été signé par les représentants de douze nations,fr
El telescopio reveló galaxias a miles de millones de años luz,es
Las energías renovables son cada vez más asequibles,es
Gli ingegneri hanno progettato un nuovo rivoluzionario sistema di trasporto,it
La partita del campionato ha attirato milioni di telespettatori in tutto,it
Los casquetes polares se están derritiendo a un ritmo alarmante,es
Les panneaux solaires sont maintenant moins chers que les sources traditionnelles,fr
Le débat sur l énergie nucléaire reste très controversé politiquement,fr
L agricoltura rimane la spina dorsale di molte economie in via di sviluppo,it
As empresas de tecnologia investem pesadamente em pesquisa de IA,pt
Le tableau s est vendu pour une somme extraordinaire aux enchères,fr
L invenzione di internet ha cambiato la comunicazione per sempre,it
Das Referendum wird über die politische Zukunft der autonomen Region entscheiden,de
O tratado foi assinado por representantes de doze nações soberanas,pt
I computer elaborano informazioni a velocità incredibili nel mondo moderno,it
El equipo de baloncesto ganó el campeonato finalmente,es
Le concert était absolument spectaculaire hier soir,fr
La invención de internet cambió la comunicación para siempre,es
Das Raumschiff übermittelte Daten aus dem äußeren Sonnensystem zur Erde,de
The ancient ruins were discovered by archaeologists,en
O hospital introduziu novos procedimentos de tratamento médico avançados,pt
The mountain peak was covered in eternal snow,en
La energía solar podría teóricamente alimentar todo el planeta,es
Il telescopio ha rivelato galassie a miliardi di anni luce di distanza,it
The vaccine proved highly effective against the virus,en
Le professeur a donné une conférence inspirante aux étudiants attentifs,fr
Das Virus breitete sich schnell über internationale Grenzen hinaus aus,de
I trasporti pubblici riducono significativamente la congestione del traffico,it
Il tempo oggi è piuttosto piacevole e soleggiato ovunque,it
Technologieunternehmen investieren stark in die Erforschung von KI,de
Public transportation reduces traffic congestion significantly,en
L economia è cresciuta costantemente durante tutto l anno fiscale,it
Renewable energy sources are becoming more affordable,en
Le foreste forniscono habitat per innumerevoli specie di fauna selvatica,it
Les efforts de conservation de la faune ont montré des résultats positifs,fr
Städtische Landwirtschaft liefert frische Lebensmittel in dicht besiedelten Stadtgebieten,de
L incendio boschivo ha consumato migliaia di ettari di foresta preziosa,it
The invention of the internet changed communication forever,en
La squadra di basket ha vinto il campionato dopo anni di duro lavoro,it
Os recifes de coral sustentam uma incrível diversidade de vida marinha,pt
Le télescope a révélé des galaxies à des milliards d années lumière,fr
L expédition a traversé avec succès le continent antarctique gelé,fr
I bambini hanno bisogno di una nutrizione adeguata per svilupparsi,it
La musica ha il potere di trascendere i confini culturali del mondo,it
Der Klimawandel stellt erhebliche Herausforderungen für die Welt dar,de
El turismo es una importante fuente de ingresos para islas,es
